Order_ID,Supplier_Name,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Cost_of_Goods_Sold,Avg_Inventory_Value,Items_Ordered,Items_Damaged
ORD-100066,EpsilonEx Corp.,18-09-2024,05-10-2024,19-10-2024,7279.41,2175.76,533,13
ORD-100067,BetaLogistics Ltd.,10-02-2023,15-02-2023,28-02-2023,78010.58,30847.96,529,14
ORD-100068,ZetaFreight LLC,25-03-2022,28-03-2022,26-03-2022,69769.95,28782.71,994,1
ORD-100069,AlphaSupply Co.,30-05-2023,18-06-2023,28-06-2023,62874.64,32333.88,620,8
ORD-100070,ThetaTrade GmbH,21-05-2024,09-06-2024,17-06-2024,198211.7,72186.7,617,49
ORD-100071,GammaGoods Inc.,27-07-2022,01-08-2022,02-08-2022,66568.01,23635.36,369,7
ORD-100072,BetaLogistics Ltd.,22-05-2023,10-06-2023,21-06-2023,41986.34,11045.47,516,1
ORD-100073,IotaImports SA,23-05-2022,11-06-2022,10-06-2022,213697.37,90939.5,725,16
ORD-100074,EtaDistrib.,22-01-2024,11-02-2024,13-02-2024,98820.67,54772.79,865,28
ORD-100075,AlphaSupply Co.,05-06-2023,11-06-2023,25-06-2023,50088.33,13907.03,791,35
ORD-100076,IotaImports SA,28-12-2022,10-01-2023,20-01-2023,189045.92,52588.29,679,4
ORD-100077,EtaDistrib.,06-09-2022,26-09-2022,25-09-2022,166007.71,45098.03,790,50
ORD-100078,GammaGoods Inc.,11-09-2023,30-09-2023,30-09-2023,236598.44,50562.66,81,5
ORD-100079,DeltaCargo Pvt.,04-01-2024,17-01-2024,19-01-2024,220059.92,84361.13,306,5
ORD-100080,EpsilonEx Corp.,26-10-2024,01-11-2024,31-10-2024,175107.26,26754.21,281,18
ORD-100081,KappaKargo BV,24-04-2023,28-04-2023,29-04-2023,44442.83,22994.66,671,19
ORD-100082,ZetaFreight LLC,25-06-2022,02-07-2022,09-07-2022,123379.4,20835.87,766,26
ORD-100083,IotaImports SA,30-06-2024,04-07-2024,02-07-2024,34103.23,6376.11,190,14
ORD-100084,AlphaSupply Co.,21-11-2023,27-11-2023,29-11-2023,139602.58,18746.83,233,17
ORD-100085,ZetaFreight LLC,06-02-2024,10-02-2024,13-02-2024,229611.97,66742.13,521,16
ORD-100086,AlphaSupply Co.,17-04-2022,03-05-2022,17-05-2022,5936.62,2842.59,970,38
ORD-100087,DeltaCargo Pvt.,09-12-2022,22-12-2022,05-01-2023,219623.63,121901.45,52,1
ORD-100088,ZetaFreight LLC,20-04-2024,02-05-2024,14-05-2024,137132.93,43490.39,886,37
ORD-100089,IotaImports SA,30-06-2024,17-07-2024,20-07-2024,42056.13,9150.08,234,13
ORD-100090,GammaGoods Inc.,22-04-2023,02-05-2023,08-05-2023,214687.11,99363.06,305,2
ORD-100091,GammaGoods Inc.,31-05-2024,10-06-2024,16-06-2024,136539.61,60633.41,650,48
ORD-100092,IotaImports SA,10-07-2024,16-07-2024,28-07-2024,114800.6,50606.67,743,43
ORD-100093,ZetaFreight LLC,01-03-2023,12-03-2023,22-03-2023,127430.95,40996.02,881,7
ORD-100094,ThetaTrade GmbH,10-09-2024,16-09-2024,29-09-2024,41106.04,15729.19,55,4
ORD-100095,KappaKargo BV,12-11-2022,25-11-2022,02-12-2022,32620.85,4272.79,96,6
ORD-100096,AlphaSupply Co.,20-09-2022,10-10-2022,23-10-2022,167081.33,37594.36,504,13
ORD-100097,EtaDistrib.,18-01-2024,30-01-2024,09-02-2024,220700.91,124358.91,581,24
ORD-100098,AlphaSupply Co.,29-11-2023,07-12-2023,17-12-2023,175142.38,21172.94,298,21
ORD-100099,KappaKargo BV,03-06-2022,18-06-2022,27-06-2022,210992.37,52916.89,655,51
ORD-100100,EpsilonEx Corp.,30-06-2024,17-07-2024,20-07-2024,211969.05,45217.69,302,7
ORD-100101,EpsilonEx Corp.,07-08-2022,18-08-2022,26-08-2022,12849.94,2121.78,936,49
ORD-100102,BetaLogistics Ltd.,31-05-2024,07-06-2024,11-06-2024,193883.95,108996.88,218,15
ORD-100103,EtaDistrib.,09-01-2022,24-01-2022,02-02-2022,194162.68,31638.43,673,53
ORD-100104,ZetaFreight LLC,22-05-2024,28-05-2024,30-05-2024,90744.36,31278.28,554,3
ORD-100105,KappaKargo BV,11-05-2024,31-05-2024,11-06-2024,105413.01,54788.91,147,6
ORD-100106,AlphaSupply Co.,04-05-2024,12-05-2024,19-05-2024,187645.05,19127.79,625,44
ORD-100107,ThetaTrade GmbH,30-12-2023,08-01-2024,18-01-2024,246705.91,38057.8,189,0
ORD-100108,KappaKargo BV,01-06-2023,17-06-2023,18-06-2023,247017.16,66928.58,563,20
ORD-100109,KappaKargo BV,12-02-2024,15-02-2024,26-02-2024,121091.5,21040.56,654,31
ORD-100110,EtaDistrib.,31-10-2022,06-11-2022,17-11-2022,198439.93,37967.47,118,5
ORD-100111,IotaImports SA,04-05-2024,09-05-2024,09-05-2024,119185.07,47146.98,255,15
ORD-100112,AlphaSupply Co.,01-09-2023,11-09-2023,14-09-2023,217159.99,40243.13,331,2
ORD-100113,AlphaSupply Co.,18-05-2023,30-05-2023,08-06-2023,164183.28,68862.34,932,59
ORD-100114,EtaDistrib.,08-07-2023,14-07-2023,26-07-2023,234476.9,130781.66,260,6
ORD-100115,GammaGoods Inc.,15-09-2023,24-09-2023,04-10-2023,249323.84,53533.41,925,61
ORD-100116,ThetaTrade GmbH,10-02-2022,26-02-2022,04-03-2022,85895.98,17706.81,557,19
ORD-100117,ThetaTrade GmbH,03-06-2022,22-06-2022,25-06-2022,244934.33,25888.77,952,3
ORD-100118,EtaDistrib.,26-09-2022,29-09-2022,12-10-2022,174665.68,18747.43,840,65
ORD-100119,IotaImports SA,06-05-2022,20-05-2022,01-06-2022,63331.12,18892.51,328,20
ORD-100120,GammaGoods Inc.,27-04-2023,30-04-2023,13-05-2023,5762.43,1985.28,582,16
ORD-100121,IotaImports SA,02-01-2024,14-01-2024,17-01-2024,172540.43,33025.17,731,16
ORD-100122,IotaImports SA,18-12-2023,05-01-2024,10-01-2024,59483.02,15554.45,124,6
ORD-100123,DeltaCargo Pvt.,31-05-2023,17-06-2023,19-06-2023,61687.76,10496.48,680,54
ORD-100124,GammaGoods Inc.,25-07-2024,01-08-2024,15-08-2024,140281.18,61811.19,487,11
ORD-100125,EtaDistrib.,11-09-2023,18-09-2023,30-09-2023,12576.85,3728.65,83,6
ORD-100126,IotaImports SA,28-03-2022,14-04-2022,14-04-2022,107010.47,49991.77,874,23
ORD-100127,EtaDistrib.,17-04-2024,04-05-2024,06-05-2024,200846.5,75348.88,302,17
ORD-100128,BetaLogistics Ltd.,22-09-2023,30-09-2023,07-10-2023,11678.76,3371.07,881,27
ORD-100129,EpsilonEx Corp.,27-11-2023,30-11-2023,05-12-2023,157865.69,65227.47,246,2
ORD-100130,DeltaCargo Pvt.,12-09-2023,23-09-2023,28-09-2023,43803.02,4537.32,565,42
ORD-100131,ZetaFreight LLC,30-08-2023,13-09-2023,17-09-2023,216395.65,96335.5,402,5
ORD-100132,ZetaFreight LLC,10-04-2022,20-04-2022,29-04-2022,100718.3,28757.52,899,68
ORD-100133,KappaKargo BV,05-09-2023,24-09-2023,07-10-2023,203969.97,72774.07,956,8
ORD-100134,IotaImports SA,20-05-2024,06-06-2024,19-06-2024,182335.96,65951.81,782,17
ORD-100135,ZetaFreight LLC,29-11-2022,16-12-2022,21-12-2022,220069.61,83451.76,854,63
ORD-100136,BetaLogistics Ltd.,23-10-2023,26-10-2023,07-11-2023,131630.67,59390.87,781,41
ORD-100137,BetaLogistics Ltd.,03-02-2022,21-02-2022,02-03-2022,124097.69,19275.23,329,5
ORD-100138,BetaLogistics Ltd.,16-01-2023,01-02-2023,02-02-2023,14170.48,4881.57,925,44
ORD-100139,ZetaFreight LLC,24-04-2023,04-05-2023,15-05-2023,135784.45,19223.89,554,8
ORD-100140,BetaLogistics Ltd.,12-12-2024,25-12-2024,28-12-2024,132884.21,28846.06,376,26
ORD-100141,BetaLogistics Ltd.,23-08-2022,09-09-2022,17-09-2022,153566.72,29889.04,232,1
ORD-100142,BetaLogistics Ltd.,30-10-2022,18-11-2022,28-11-2022,37100.3,14816.18,724,31
ORD-100143,EtaDistrib.,24-03-2023,05-04-2023,19-04-2023,137292.14,55335.42,313,2
ORD-100144,GammaGoods Inc.,22-12-2024,25-12-2024,08-01-2025,116237.91,59914.8,670,37
ORD-100145,KappaKargo BV,23-07-2024,06-08-2024,17-08-2024,151014.12,54503.8,111,8
ORD-100146,EpsilonEx Corp.,07-02-2022,22-02-2022,28-02-2022,166834.77,78802.61,653,43
ORD-100147,EtaDistrib.,14-09-2022,18-09-2022,22-09-2022,93548.74,50940.94,661,20
ORD-100148,ZetaFreight LLC,18-06-2024,05-07-2024,10-07-2024,128493,21428.55,549,10
ORD-100149,IotaImports SA,05-03-2022,11-03-2022,25-03-2022,101798.97,46876.87,674,7
ORD-100150,BetaLogistics Ltd.,25-07-2024,13-08-2024,14-08-2024,192545.03,50825.74,995,70
ORD-100151,ThetaTrade GmbH,05-11-2022,17-11-2022,23-11-2022,200123.81,47835.97,847,5
ORD-100152,ZetaFreight LLC,01-10-2024,09-10-2024,18-10-2024,76770.64,44641.46,468,24
ORD-100153,EpsilonEx Corp.,18-11-2022,22-11-2022,20-11-2022,68588.75,13939.18,878,26
ORD-100154,EtaDistrib.,21-04-2023,24-04-2023,02-05-2023,171189.16,95399.7,957,76
ORD-100155,ZetaFreight LLC,26-12-2023,11-01-2024,13-01-2024,194633.97,99625,202,8
ORD-100156,EtaDistrib.,19-05-2022,28-05-2022,30-05-2022,7662.05,4132.27,391,17
ORD-100157,ZetaFreight LLC,02-09-2023,20-09-2023,28-09-2023,109721.82,43119.77,756,56
ORD-100158,BetaLogistics Ltd.,07-07-2023,14-07-2023,12-07-2023,80394.07,31542.85,539,42
ORD-100159,DeltaCargo Pvt.,08-05-2024,27-05-2024,27-05-2024,192797.51,58088.16,178,8
ORD-100160,KappaKargo BV,26-12-2024,14-01-2025,19-01-2025,40167.48,12068.71,499,32
ORD-100161,AlphaSupply Co.,29-12-2023,02-01-2024,09-01-2024,195670.39,102792.23,405,21
ORD-100162,GammaGoods Inc.,25-03-2023,08-04-2023,07-04-2023,167044.62,49090.67,752,26
ORD-100163,ThetaTrade GmbH,21-03-2023,09-04-2023,13-04-2023,211517.75,72624.29,540,2
ORD-100164,BetaLogistics Ltd.,03-04-2023,11-04-2023,14-04-2023,247609.62,148119.19,183,11
ORD-100165,AlphaSupply Co.,10-06-2024,14-06-2024,21-06-2024,121756,33745.52,97,5
ORD-100166,ThetaTrade GmbH,18-12-2022,05-01-2023,08-01-2023,176355.82,90170,323,3
ORD-100167,GammaGoods Inc.,02-07-2022,13-07-2022,11-07-2022,178940.43,42694.98,199,4
ORD-100168,GammaGoods Inc.,02-01-2023,05-01-2023,12-01-2023,211920.45,23848.85,883,52
ORD-100169,EpsilonEx Corp.,25-01-2022,12-02-2022,24-02-2022,131940.67,52342.7,307,4
ORD-100170,IotaImports SA,27-04-2022,12-05-2022,19-05-2022,31373.7,10656.8,653,36
ORD-100171,KappaKargo BV,09-04-2022,13-04-2022,17-04-2022,244943.92,120839.73,171,10
ORD-100172,GammaGoods Inc.,24-04-2024,01-05-2024,07-05-2024,18925.15,1931.81,470,13
ORD-100173,DeltaCargo Pvt.,01-03-2024,04-03-2024,04-03-2024,240781.75,32573,938,19
ORD-100174,ZetaFreight LLC,02-02-2024,22-02-2024,24-02-2024,67562.77,35797.42,661,20
ORD-100175,ThetaTrade GmbH,21-05-2023,24-05-2023,29-05-2023,125658.56,42776.12,324,9
ORD-100176,AlphaSupply Co.,25-02-2024,13-03-2024,21-03-2024,237912.07,84027.38,761,37
ORD-100177,EpsilonEx Corp.,26-06-2022,08-07-2022,14-07-2022,170781.83,36300.27,526,31
ORD-100178,BetaLogistics Ltd.,13-09-2024,26-09-2024,10-10-2024,148462.53,83578.55,273,19
ORD-100179,GammaGoods Inc.,03-07-2023,20-07-2023,28-07-2023,84843.75,47275.81,997,2
ORD-100180,EtaDistrib.,24-10-2024,12-11-2024,10-11-2024,76639.48,27463.52,941,55
ORD-100181,AlphaSupply Co.,16-06-2022,21-06-2022,27-06-2022,13030.53,2722.23,588,15
ORD-100182,IotaImports SA,29-06-2023,02-07-2023,09-07-2023,148651.4,87911.8,81,5
ORD-100183,AlphaSupply Co.,02-02-2024,07-02-2024,05-02-2024,110374.81,60289.83,441,3
ORD-100184,IotaImports SA,27-06-2023,12-07-2023,16-07-2023,59953.79,21625.66,538,24
ORD-100185,EpsilonEx Corp.,04-05-2023,17-05-2023,29-05-2023,99132.46,40961.46,934,41
ORD-100186,ZetaFreight LLC,02-07-2022,06-07-2022,10-07-2022,235530.84,75330.75,747,20
ORD-100187,EpsilonEx Corp.,22-02-2023,01-03-2023,06-03-2023,212858.03,43216.33,261,20
ORD-100188,DeltaCargo Pvt.,19-09-2022,01-10-2022,02-10-2022,110449.79,48678.03,535,5
ORD-100189,EtaDistrib.,27-11-2022,13-12-2022,12-12-2022,245088.49,106507.39,220,2
ORD-100190,DeltaCargo Pvt.,19-01-2024,28-01-2024,31-01-2024,118218.85,44174.02,500,26
ORD-100191,AlphaSupply Co.,22-11-2023,12-12-2023,23-12-2023,90539.76,45923.85,559,23
ORD-100192,AlphaSupply Co.,27-10-2023,16-11-2023,30-11-2023,100040.55,32605.05,534,11
ORD-100193,GammaGoods Inc.,01-02-2023,17-02-2023,26-02-2023,219281.09,116319.49,456,11
ORD-100194,GammaGoods Inc.,16-11-2024,27-11-2024,09-12-2024,70599.91,14720.73,465,6
ORD-100195,AlphaSupply Co.,06-04-2022,24-04-2022,03-05-2022,59415.18,34514.44,807,56
ORD-100196,AlphaSupply Co.,11-01-2023,27-01-2023,05-02-2023,240334.09,48677.3,531,24
ORD-100197,IotaImports SA,10-05-2022,22-05-2022,27-05-2022,184895.88,33292.27,89,2
ORD-100198,EpsilonEx Corp.,07-01-2023,17-01-2023,16-01-2023,192126.3,77176.9,754,24
ORD-100199,DeltaCargo Pvt.,19-11-2024,06-12-2024,10-12-2024,186371.15,27310.82,637,46
ORD-100200,KappaKargo BV,06-02-2023,19-02-2023,03-03-2023,172312.3,31699.54,711,50
ORD-100201,ZetaFreight LLC,21-09-2024,27-09-2024,04-10-2024,27355.75,12707.22,725,4
ORD-100202,BetaLogistics Ltd.,27-06-2023,17-07-2023,27-07-2023,189651.32,48185.8,214,11
ORD-100203,ThetaTrade GmbH,06-02-2024,10-02-2024,08-02-2024,65985.87,32996.94,974,12
ORD-100204,ThetaTrade GmbH,16-05-2023,31-05-2023,01-06-2023,37439.29,6655.82,991,17
ORD-100205,GammaGoods Inc.,19-10-2022,02-11-2022,05-11-2022,245835.73,71944,188,13
ORD-100206,EtaDistrib.,16-04-2024,29-04-2024,03-05-2024,11826.63,3466.91,258,18
ORD-100207,BetaLogistics Ltd.,27-11-2024,30-11-2024,14-12-2024,12750.84,4337.81,284,2
ORD-100208,KappaKargo BV,16-10-2022,27-10-2022,01-11-2022,80928.57,24699.08,969,68
ORD-100209,ZetaFreight LLC,02-05-2024,21-05-2024,30-05-2024,211829.51,62149.27,936,55
ORD-100210,GammaGoods Inc.,13-10-2022,20-10-2022,28-10-2022,244596.31,64626.94,302,19
ORD-100211,KappaKargo BV,24-02-2024,10-03-2024,15-03-2024,34039.29,3661.79,649,41
ORD-100212,ZetaFreight LLC,13-05-2024,31-05-2024,14-06-2024,101882.76,41598.24,281,11
ORD-100213,IotaImports SA,08-05-2023,28-05-2023,29-05-2023,184903.95,62265.61,86,7
ORD-100214,AlphaSupply Co.,17-03-2024,29-03-2024,27-03-2024,163154.42,46766.8,269,4
ORD-100215,DeltaCargo Pvt.,26-10-2022,03-11-2022,13-11-2022,62177.29,12790.33,123,5
ORD-100216,EpsilonEx Corp.,28-03-2022,12-04-2022,21-04-2022,85655.46,46741.76,856,22
ORD-100217,GammaGoods Inc.,16-04-2022,27-04-2022,29-04-2022,150621.79,32978.18,796,52
ORD-100218,ZetaFreight LLC,05-05-2023,19-05-2023,31-05-2023,13674.61,7664.1,225,1
ORD-100219,DeltaCargo Pvt.,15-09-2024,01-10-2024,01-10-2024,190766.1,39799.91,589,20
ORD-100220,IotaImports SA,20-05-2022,04-06-2022,06-06-2022,72474.21,42449.09,245,15
ORD-100221,GammaGoods Inc.,15-05-2023,22-05-2023,22-05-2023,207944.82,64447.21,587,15
ORD-100222,BetaLogistics Ltd.,10-02-2024,26-02-2024,27-02-2024,172498.87,63196.46,902,17
ORD-100223,KappaKargo BV,10-08-2022,22-08-2022,01-09-2022,163126.56,40684.62,886,19
ORD-100224,ThetaTrade GmbH,01-03-2024,20-03-2024,29-03-2024,193003.47,109932.93,842,48
ORD-100225,AlphaSupply Co.,02-12-2022,16-12-2022,24-12-2022,23407.96,5648,279,6
ORD-100226,IotaImports SA,04-06-2024,23-06-2024,05-07-2024,68692.83,31949.44,231,7
ORD-100227,BetaLogistics Ltd.,27-09-2023,17-10-2023,16-10-2023,132825.68,14643.42,202,9
ORD-100228,EtaDistrib.,22-08-2023,11-09-2023,19-09-2023,195403.3,74128.07,170,13
ORD-100229,AlphaSupply Co.,13-07-2022,29-07-2022,28-07-2022,213018.66,100286.58,633,40
ORD-100230,GammaGoods Inc.,23-05-2023,05-06-2023,19-06-2023,98615.4,33079.22,676,10
ORD-100231,IotaImports SA,26-07-2024,31-07-2024,08-08-2024,199443.67,84097.13,889,63
ORD-100232,AlphaSupply Co.,22-01-2022,31-01-2022,10-02-2022,58967.16,28541.78,135,9
ORD-100233,EpsilonEx Corp.,10-04-2024,21-04-2024,28-04-2024,25196.63,8821.82,302,18
ORD-100234,DeltaCargo Pvt.,24-06-2023,11-07-2023,15-07-2023,65412.94,13674.31,742,31
ORD-100235,GammaGoods Inc.,27-02-2024,11-03-2024,20-03-2024,226271.3,67516.19,697,4
ORD-100236,BetaLogistics Ltd.,28-12-2023,07-01-2024,19-01-2024,138288.92,64358.21,456,26
ORD-100237,DeltaCargo Pvt.,19-04-2023,24-04-2023,25-04-2023,122930.53,28955.79,194,8
ORD-100238,DeltaCargo Pvt.,04-12-2022,19-12-2022,31-12-2022,187117,77843.91,510,13
ORD-100239,BetaLogistics Ltd.,18-11-2023,28-11-2023,08-12-2023,7472.77,1301.35,213,0
ORD-100240,ThetaTrade GmbH,03-06-2022,06-06-2022,05-06-2022,33984.26,19206.09,559,10
ORD-100241,BetaLogistics Ltd.,02-10-2023,10-10-2023,23-10-2023,29402.67,11804.92,907,44
ORD-100242,DeltaCargo Pvt.,14-04-2022,02-05-2022,03-05-2022,34808.44,11630.73,236,2
ORD-100243,KappaKargo BV,13-12-2023,18-12-2023,26-12-2023,116095.34,58716.56,162,8
ORD-100244,DeltaCargo Pvt.,20-11-2023,30-11-2023,30-11-2023,73767.31,36779.31,751,49
ORD-100245,EtaDistrib.,03-04-2022,15-04-2022,16-04-2022,197502.63,29361.04,73,2
ORD-100246,EpsilonEx Corp.,09-04-2024,13-04-2024,21-04-2024,210564.58,53384.8,985,6
ORD-100247,EtaDistrib.,01-04-2023,06-04-2023,15-04-2023,231610.14,76266.59,786,9
ORD-100248,ThetaTrade GmbH,11-05-2024,30-05-2024,08-06-2024,53035.29,14333.85,433,12
ORD-100249,EpsilonEx Corp.,15-02-2022,28-02-2022,03-03-2022,128198.66,33158.63,394,26
ORD-100250,EtaDistrib.,16-07-2022,22-07-2022,02-08-2022,16930.97,4674.56,417,21
ORD-100251,EpsilonEx Corp.,25-06-2023,01-07-2023,29-06-2023,63777.49,10907.52,427,30
ORD-100252,DeltaCargo Pvt.,26-07-2022,05-08-2022,17-08-2022,155693.96,24865.68,848,67
ORD-100253,ThetaTrade GmbH,28-12-2022,13-01-2023,16-01-2023,108486.12,24968.67,810,13
ORD-100254,DeltaCargo Pvt.,25-12-2023,10-01-2024,18-01-2024,174221.32,23527,244,14
ORD-100255,AlphaSupply Co.,08-06-2022,14-06-2022,27-06-2022,210610.71,74789.97,221,8
ORD-100256,GammaGoods Inc.,13-01-2024,29-01-2024,31-01-2024,19586.1,3458.28,564,22
ORD-100257,EtaDistrib.,24-04-2022,13-05-2022,17-05-2022,234960.18,31433.81,668,17
ORD-100258,EtaDistrib.,11-07-2022,18-07-2022,30-07-2022,15388.82,7980.22,741,20
ORD-100259,ZetaFreight LLC,06-10-2023,09-10-2023,21-10-2023,245508.84,96670.27,348,19
ORD-100260,EpsilonEx Corp.,18-05-2024,07-06-2024,08-06-2024,161219.77,88538.68,508,25
